2020-04-26 12:04:815 INFO  BrowserSelector :24 - Launching Chrome Browser
2020-04-26 12:04:197 INFO  HomePage :26 - click on log in register link Proxy element for: DefaultElementLocator 'By.xpath: //span[@class='icon-fallback']'
2020-04-26 12:04:729 INFO  LoginPage :23 - get welcome Text[[ChromeDriver: chrome on WINDOWS (27e500065e4f17c2337b07f366a6f190)] -> xpath: //li[@class='navbar-text myprofile_salutation']]
2020-04-26 14:04:48 INFO  BrowserSelector :24 - Launching Chrome Browser
2020-04-26 14:04:59 INFO  HomePage :26 - click on log in register link Proxy element for: DefaultElementLocator 'By.xpath: //span[@class='icon-fallback']'
2020-04-26 14:04:462 INFO  LoginPage :35 - get welcome Text[[ChromeDriver: chrome on WINDOWS (38e7441f7e072505c64165da1a34dee7)] -> xpath: //li[@class='navbar-text myprofile_salutation']]
2020-04-26 14:04:440 INFO  BrowserSelector :24 - Launching Chrome Browser
2020-04-26 14:04:762 INFO  HomePage :26 - click on log in register link Proxy element for: DefaultElementLocator 'By.xpath: //span[@class='icon-fallback']'
2020-04-26 14:04:114 INFO  LoginPage :41 - enter email[[ChromeDriver: chrome on WINDOWS (453e9c28944fa83bafcf4e799b27222d)] -> id: username-input]
2020-04-26 14:04:412 INFO  LoginPage :46 - enter password[[ChromeDriver: chrome on WINDOWS (453e9c28944fa83bafcf4e799b27222d)] -> id: password-input]
2020-04-26 14:04:914 INFO  LoginPage :51 -  Clicking on Login Button[[ChromeDriver: chrome on WINDOWS (453e9c28944fa83bafcf4e799b27222d)] -> xpath: //input[@id='submitBtnSignIn']]
2020-04-26 14:04:979 INFO  LoginPage :55 - Get Error message text [[ChromeDriver: chrome on WINDOWS (453e9c28944fa83bafcf4e799b27222d)] -> xpath: //span[@id='password.errors']]
2020-04-26 14:04:734 INFO  BrowserSelector :24 - Launching Chrome Browser
2020-04-26 14:04:844 INFO  BrowserSelector :24 - Launching Chrome Browser
2020-04-26 15:04:97 INFO  BrowserSelector :24 - Launching Chrome Browser
